RUN TIME,(TIME IN SEC) Thread,(TIME IN SEC) MULTI-THREAD,(TIME IN SEC)RUN TIME IN CUDA ,(TIME IN SEC) IN TIME IN MPI
,9.0647E-05,0.000211027,0.000268345,0.000430624
,0.000144281,0.000468966,0.000495167,0.000464457
,0.000202405,0.000704172,0.000404555,0.000350444
,0.000126153,0.001908549,0.000480121,0.000384927
,0.000166284,0.000251185,0.000465372,0.00036986
,0.000167944,0.000301609,0.000268498,0.000407057
,0.000290505,0.001397464,0.000315223,0.000376031
,0.000168201,0.000983446,0.000276893,0.000293637
,0.000113189,0.000688733,0.00026693,0.000459665
,0.000144964,0.000307601,0.00026641,0.000439617
,,,,
MEAN,0.0001614573,0.0007222752,0.0003507514,0.0003976319
